11.11.2011	9:44:14
A
Mass	Value
5,750	3,138140E-14
5,781	3,037312E-14
5,813	2,985468E-14
5,844	2,909577E-14
5,875	2,822421E-14
5,906	2,769084E-14
5,938	2,689227E-14
5,969	2,510651E-14
6,000	2,328889E-14
6,031	2,339020E-14
6,063	2,641676E-14
6,094	3,194938E-14
6,125	3,842109E-14
6,156	4,416945E-14
6,188	4,933085E-14
6,219	5,559969E-14
6,250	6,409616E-14
6,281	7,426770E-14
6,313	8,408668E-14
6,344	9,154285E-14
6,375	9,648212E-14
6,406	1,002243E-13
6,438	1,035073E-13
6,469	1,057589E-13
6,500	1,066418E-13
6,531	1,074606E-13
6,563	1,097199E-13
6,594	1,128362E-13
6,625	1,150613E-13
6,656	1,159087E-13
6,688	1,161403E-13
6,719	1,165782E-13
6,750	1,175967E-13
6,781	1,186451E-13
6,813	1,185956E-13
6,844	1,169476E-13
6,875	1,140186E-13
6,906	1,105878E-13
6,938	1,078312E-13
6,969	1,066687E-13
7,000	1,068330E-13
7,031	1,070302E-13
7,063	1,064035E-13
7,094	1,060116E-13
7,125	1,081473E-13
7,156	1,133957E-13
7,188	1,192979E-13
7,219	1,231406E-13
7,250	1,249557E-13
7,281	1,261442E-13
7,313	1,266006E-13
7,344	1,250410E-13
7,375	1,208402E-13
7,406	1,146360E-13
7,438	1,084188E-13
7,469	1,048992E-13
7,500	1,051159E-13
7,531	1,068931E-13
7,563	1,070631E-13
7,594	1,050492E-13
7,625	1,034578E-13
7,656	1,047408E-13
7,688	1,078378E-13
7,719	1,096044E-13
7,750	1,089195E-13
7,781	1,076380E-13
7,813	1,079107E-13
7,844	1,093461E-13
7,875	1,090786E-13
7,906	1,048707E-13
7,938	9,759785E-14
7,969	9,035420E-14
8,000	8,543858E-14
8,031	8,262110E-14
8,063	8,065393E-14
8,094	7,947848E-14
8,125	7,948779E-14
8,156	7,968618E-14
8,188	7,860603E-14
8,219	7,616038E-14
8,250	7,322609E-14
8,281	7,046477E-14
8,313	6,772571E-14
8,344	6,360440E-14
8,375	5,679936E-14
8,406	4,846506E-14
8,438	4,114377E-14
8,469	3,581901E-14
8,500	3,212243E-14
8,531	3,000034E-14
8,563	2,970408E-14
8,594	3,103331E-14
8,625	3,307702E-14
8,656	3,475413E-14
8,688	3,547557E-14
8,719	3,514319E-14
8,750	3,397165E-14
8,781	3,256276E-14
8,813	3,186566E-14
8,844	3,261331E-14
8,875	3,445716E-14
8,906	3,604058E-14
8,938	3,638323E-14
8,969	3,580714E-14
9,000	3,547687E-14
9,031	3,655458E-14
9,063	3,935205E-14
9,094	4,262346E-14
9,125	4,426620E-14
9,156	4,347961E-14
9,188	4,172389E-14
9,219	4,099455E-14
9,250	4,176079E-14
9,281	4,285878E-14
9,313	4,279574E-14
9,344	4,095210E-14
9,375	3,762726E-14
9,406	3,344436E-14
9,438	2,942408E-14
9,469	2,679305E-14
9,500	2,580152E-14
9,531	2,561614E-14
9,563	2,566877E-14
9,594	2,625971E-14
9,625	2,771118E-14
9,656	2,942851E-14
9,688	3,028623E-14
9,719	3,001731E-14
9,750	2,969401E-14
9,781	3,039472E-14
9,813	3,173872E-14
9,844	3,250850E-14
9,875	3,248427E-14
9,906	3,271866E-14
9,938	3,410249E-14
9,969	3,612043E-14
10,000	3,720035E-14
10,031	3,631844E-14
10,063	3,364585E-14
10,094	2,999159E-14
10,125	2,668450E-14
10,156	2,532101E-14
10,188	2,651847E-14
10,219	2,887200E-14
10,250	2,993435E-14
10,281	2,892057E-14
10,313	2,737784E-14
10,344	2,648058E-14
10,375	2,579670E-14
10,406	2,536093E-14
