"smaz.lda"
"Scan 1"
"Potential / V";"Current / A"
-9,36102;-8,53e-05
-9,34277;-8,49e-05
-9,31781;-8,45e-05
-9,28273;-8,43e-05
-9,26443;-8,43e-05
-9,23945;-8,41e-05
-9,20067;-8,68e-05
-9,18624;-8,32e-05
-9,15747;-8,68e-05
-9,1461;-8,55e-05
-9,10773;-8,43e-05
-9,09265;-8,6e-05
-9,05797;-8,2e-05
-9,03262;-8,53e-05
-9,0143;-8,55e-05
-8,98948;-8,38e-05
-8,96104;-8,51e-05
-8,93932;-8,53e-05
-8,90753;-8,62e-05
-8,8893;-8,55e-05
-8,86445;-8,41e-05
-8,83622;-8,34e-05
-8,80782;-8,34e-05
-8,79272;-8,53e-05
-8,76115;-8,41e-05
-8,73622;-8,34e-05
-8,70757;-8,58e-05
-8,69294;-8,32e-05
-8,65446;-8,3e-05
-8,63604;-8,51e-05
-8,6177;-8,55e-05
-8,58622;-8,34e-05
-8,56095;-8,6e-05
-8,54587;-8,77e-05
-8,51126;-8,3e-05
-8,4858;-8,74e-05
-8,47127;-8,39e-05
-8,44285;-8,41e-05
-8,4112;-8,36e-05
-8,39287;-8,39e-05
-8,36439;-8,47e-05
-8,33954;-8,32e-05
-8,31447;-8,39e-05
-8,29281;-8,45e-05
-8,26115;-8,41e-05
-8,23271;-8,45e-05
-8,21419;-8,66e-05
-8,19294;-8,32e-05
-8,16447;-8,39e-05
-8,1328;-8,36e-05
-8,11151;-8,07e-05
-8,08611;-8,45e-05
-8,06761;-8,64e-05
-8,03952;-8,34e-05
-8,008;-8,17e-05
-7,98595;-8,6e-05
-7,96787;-8,39e-05
-7,93277;-8,39e-05
-7,91794;-8,32e-05
-7,88622;-8,34e-05
-7,8643;-8,55e-05
-7,84623;-8,43e-05
-7,81467;-8,2e-05
-7,7862;-8,36e-05
-7,761;-8,55e-05
-7,73943;-8,43e-05
-7,71089;-8,66e-05
-7,70623;-8,62e-05
-7,66142;-8,15e-05
-7,63609;-8,47e-05
-7,60758;-8,57e-05
-7,59285;-8,41e-05
-7,56117;-8,39e-05
-7,53937;-8,49e-05
-7,52134;-8,32e-05
-7,48613;-8,43e-05
-7,47447;-8,58e-05
-7,43947;-8,39e-05
-7,41772;-8,53e-05
-7,39275;-8,51e-05
-7,36459;-8,28e-05
-7,33271;-8,45e-05
-7,32115;-8,51e-05
-7,29274;-8,51e-05
-7,26463;-8,24e-05
-7,23629;-8,28e-05
-7,21425;-8,6e-05
-7,19623;-8,43e-05
-7,16457;-8,3e-05
-7,13952;-8,34e-05
-7,12108;-8,57e-05
-7,09619;-8,47e-05
-7,06118;-8,38e-05
-7,03626;-8,3e-05
-7,01104;-8,51e-05
-6,99285;-8,41e-05
-6,96434;-8,51e-05
-6,93959;-8,28e-05
-6,91807;-8,2e-05
-6,88624;-8,32e-05
-6,86763;-8,62e-05
-6,84659;-8,09e-05
-6,81144;-8,13e-05
-6,79587;-8,77e-05
-6,77147;-8,2e-05
-6,74257;-8,68e-05
-6,71479;-8,09e-05
-6,68937;-8,49e-05
-6,67105;-8,6e-05
-6,64634;-8,32e-05
-6,61127;-8,3e-05
-6,59265;-8,6e-05
-6,5747;-8,36e-05
-6,53622;-8,34e-05
-6,52108;-8,57e-05
-6,49605;-8,6e-05
-6,46799;-8,28e-05
-6,43947;-8,39e-05
-6,41417;-8,68e-05
-6,38941;-8,45e-05
-6,37127;-8,39e-05
-6,3431;-8,17e-05
-6,3145;-8,36e-05
-6,30269;-8,75e-05
-6,27154;-8,13e-05
-6,23635;-8,22e-05
-6,21421;-8,64e-05
-6,19925;-8,79e-05
-6,17159;-8,09e-05
-6,13954;-8,32e-05
-6,11448;-8,38e-05
-6,09617;-8,49e-05
-6,07128;-8,38e-05
-6,03961;-8,26e-05
-6,00755;-8,6e-05
-5,99283;-8,43e-05
-5,96781;-8,45e-05
-5,94279;-8,47e-05
-5,91774;-8,51e-05
-5,89301;-8,26e-05
-5,86124;-8,32e-05
-5,83945;-8,41e-05
-5,82107;-8,58e-05
-5,79619;-8,47e-05
-5,77112;-8,53e-05
-5,74625;-8,41e-05
-5,72105;-8,6e-05
-5,69628;-8,38e-05
-5,66788;-8,38e-05
-5,64299;-8,28e-05
-5,6179;-8,36e-05
-5,58968;-8,19e-05
-5,57105;-8,6e-05
-5,54965;-8,41e-05
-5,5181;-8,17e-05
-5,48928;-8,57e-05
-5,47799;-8,47e-05
-5,44297;-8,3e-05
-5,42125;-8,41e-05
-5,39627;-8,39e-05
-5,37127;-8,39e-05
-5,3463;-8,36e-05
-5,32115;-8,51e-05
-5,29981;-8,26e-05
-5,27132;-8,34e-05
-5,24632;-8,34e-05
-5,21443;-8,43e-05
-5,19954;-8,51e-05
-5,17472;-8,34e-05
-5,14627;-8,39e-05
-5,12128;-8,38e-05
-5,09619;-8,47e-05
-5,06792;-8,34e-05
-5,04647;-8,2e-05
-5,01133;-8,24e-05
-4,99621;-8,45e-05
-4,97132;-8,34e-05
-4,93963;-8,24e-05
-4,92125;-8,41e-05
-4,89294;-8,32e-05
-4,87107;-8,58e-05
-4,84285;-8,41e-05
-4,81799;-8,28e-05
-4,79619;-8,47e-05
-4,76787;-8,39e-05
-4,74288;-8,38e-05
-4,72477;-8,3e-05
-4,69634;-8,32e-05
-4,67134;-8,32e-05
-4,64623;-8,43e-05
-4,62468;-8,38e-05
-4,59963;-8,43e-05
-4,57143;-8,24e-05
-4,53968;-8,19e-05
-4,52485;-8,22e-05
-4,49308;-8,19e-05
-4,46763;-8,62e-05
-4,44957;-8,49e-05
-4,42121;-8,45e-05
-4,38961;-8,26e-05
-4,37117;-8,49e-05
-4,34985;-8,22e-05
-4,31774;-8,51e-05
-4,29268;-8,57e-05
-4,26808;-8,19e-05
-4,23963;-8,24e-05
-4,22103;-8,62e-05
-4,19977;-8,3e-05
-4,16816;-8,11e-05
-4,13947;-8,39e-05
-4,12479;-8,28e-05
-4,0965;-8,17e-05
-4,07103;-8,62e-05
-4,04954;-8,51e-05
-4,02163;-8,05e-05
-3,99601;-8,64e-05
-3,97134;-8,32e-05
-3,93633;-8,24e-05
-3,92461;-8,45e-05
-3,89297;-8,3e-05
-3,87125;-8,41e-05
-3,84303;-8,24e-05
-3,81467;-8,2e-05
-3,79296;-8,3e-05
-3,7679;-8,36e-05
-3,74628;-8,38e-05
-3,71787;-8,39e-05
-3,69648;-8,19e-05
-3,66447;-8,39e-05
-3,64285;-8,41e-05
-3,61779;-8,47e-05
-3,59967;-8,39e-05
-3,56823;-8,05e-05
-3,53286;-8,3e-05
-3,52476;-8,3e-05
-3,49643;-8,24e-05
-3,47123;-8,43e-05
-3,44303;-8,24e-05
-3,41794;-8,32e-05
