11.11.2011	9:22:01
A
Mass	Value
13,938	3,256329E-13
13,969	3,279853E-13
14,000	3,314579E-13
14,031	3,326100E-13
14,063	3,290466E-13
14,094	3,200987E-13
14,125	3,071868E-13
14,156	2,921930E-13
14,188	2,752081E-13
14,219	2,543828E-13
14,250	2,276087E-13
14,281	1,942872E-13
14,313	1,562755E-13
14,344	1,177856E-13
14,375	8,448978E-14
14,406	6,146980E-14
14,438	5,026969E-14
14,469	4,786793E-14
14,500	4,914685E-14
14,531	5,036220E-14
14,563	5,046400E-14
14,594	5,001023E-14
14,625	5,011382E-14
14,656	5,380847E-14
14,688	6,847694E-14
14,719	1,049023E-13
14,750	1,715736E-13
14,781	2,687418E-13
14,813	3,873980E-13
14,844	5,137800E-13
14,875	6,357042E-13
14,906	7,462757E-13
14,938	8,435121E-13
14,969	9,277957E-13
15,000	9,992499E-13
15,031	1,056347E-12
15,063	1,097515E-12
15,094	1,123961E-12
15,125	1,138967E-12
15,156	1,145137E-12
15,188	1,143819E-12
15,219	1,135759E-12
15,250	1,121677E-12
15,281	1,103192E-12
15,313	1,083044E-12
15,344	1,064364E-12
15,375	1,050050E-12
15,406	1,041557E-12
15,438	1,037130E-12
15,469	1,032311E-12
15,500	1,023516E-12
15,531	1,010708E-12
15,563	9,967545E-13
15,594	9,873681E-13
15,625	9,963738E-13
15,656	1,053876E-12
15,688	1,204715E-12
15,719	1,486193E-12
15,750	1,898894E-12
15,781	2,401305E-12
15,813	2,934396E-12
15,844	3,450435E-12
15,875	3,923287E-12
15,906	4,341043E-12
15,938	4,696253E-12
15,969	4,983946E-12
16,000	5,204026E-12
16,031	5,361498E-12
16,063	5,463816E-12
16,094	5,518977E-12
16,125	5,535483E-12
16,156	5,520616E-12
16,188	5,476721E-12
16,219	5,401343E-12
16,250	5,294524E-12
16,281	5,166849E-12
16,313	5,039583E-12
16,344	4,935669E-12
16,375	4,867111E-12
16,406	4,827810E-12
16,438	4,798193E-12
16,469	4,758057E-12
16,500	4,697710E-12
16,531	4,623182E-12
16,563	4,563767E-12
16,594	4,591750E-12
16,625	4,840063E-12
16,656	5,475230E-12
16,688	6,608665E-12
16,719	8,205945E-12
16,750	1,007759E-11
16,781	1,197195E-11
16,813	1,370920E-11
16,844	1,523958E-11
16,875	1,658012E-11
16,906	1,773745E-11
16,938	1,869999E-11
16,969	1,945724E-11
17,000	2,000628E-11
17,031	2,035545E-11
17,063	2,052883E-11
17,094	2,056017E-11
17,125	2,047768E-11
17,156	2,029378E-11
17,188	2,000759E-11
17,219	1,961845E-11
17,250	1,914614E-11
17,281	1,864468E-11
17,313	1,819214E-11
17,344	1,785227E-11
17,375	1,763315E-11
17,406	1,748046E-11
17,438	1,731537E-11
17,469	1,708283E-11
17,500	1,676913E-11
17,531	1,638669E-11
17,563	1,595204E-11
17,594	1,547470E-11
17,625	1,495839E-11
17,656	1,440315E-11
17,688	1,379531E-11
17,719	1,310103E-11
17,750	1,230331E-11
17,781	1,147153E-11
17,813	1,076828E-11
17,844	1,033541E-11
17,875	1,016845E-11
17,906	1,013022E-11
17,938	1,006966E-11
17,969	9,902699E-12
18,000	9,611379E-12
18,031	9,209115E-12
18,063	8,710923E-12
18,094	8,123903E-12
18,125	7,461773E-12
18,156	6,755740E-12
18,188	6,019503E-12
18,219	5,211384E-12
18,250	4,273831E-12
18,281	3,213558E-12
18,313	2,134343E-12
18,344	1,196935E-12
18,375	5,298153E-13
18,406	1,549307E-13
18,438	-5,129761E-15
18,469	-5,381133E-14
18,500	-6,171947E-14
18,531	-5,982441E-14
18,563	-5,675958E-14
18,594	-5,247215E-14
18,625	-4,552271E-14
18,656	-3,639115E-14
18,688	-2,705355E-14
18,719	-1,927176E-14
18,750	-1,362821E-14
18,781	-9,429418E-15
18,813	-5,816640E-15
18,844	-2,863967E-15
18,875	-4,279861E-16
18,906	3,449700E-15
18,938	1,047273E-14
18,969	1,862513E-14
19,000	2,373419E-14
19,031	2,393289E-14
19,063	2,058865E-14
19,094	1,649949E-14
19,125	1,376040E-14
19,156	1,202848E-14
19,188	9,483946E-15
19,219	5,454332E-15
19,250	1,039487E-15
19,281	-2,064289E-15
19,313	-2,877155E-15
19,344	-2,078438E-15
19,375	-1,503998E-15
19,406	-2,242070E-15
19,438	-3,630383E-15
19,469	-4,606245E-15
19,500	-5,567048E-15
19,531	-7,878358E-15
19,563	-1,175187E-14
19,594	-1,555681E-14
19,625	-1,727847E-14
19,656	-1,639507E-14
19,688	-1,448466E-14
19,719	-1,379958E-14
19,750	-1,491955E-14
19,781	-1,641354E-14
19,813	-1,704434E-14
19,844	-1,716039E-14
19,875	-1,743264E-14
19,906	-1,757671E-14
19,938	-1,724873E-14
19,969	-1,691563E-14
20,000	-1,672739E-14
20,031	-1,586707E-14
20,063	-1,424996E-14
20,094	-1,361964E-14
20,125	-1,558063E-14
20,156	-1,918038E-14
20,188	-2,172219E-14
20,219	-2,201970E-14
20,250	-2,174291E-14
20,281	-2,332917E-14
20,313	-2,764330E-14
20,344	-3,379426E-14
20,375	-4,022532E-14
20,406	-4,574320E-14
20,438	-4,987109E-14
20,469	-5,247445E-14
20,500	-5,334171E-14
20,531	-5,230027E-14
20,563	-4,988797E-14
20,594	-4,745386E-14
20,625	-4,592212E-14
20,656	-4,498999E-14
20,688	-4,394323E-14
20,719	-4,259230E-14
20,750	-4,116279E-14
20,781	-4,000825E-14
20,813	-3,962983E-14
20,844	-4,005736E-14
20,875	-4,054404E-14
20,906	-4,058211E-14
20,938	-4,006362E-14
20,969	-3,862731E-14
21,000	-3,649050E-14
21,031	-3,507275E-14
21,063	-3,520863E-14
21,094	-3,576889E-14
21,125	-3,506288E-14
21,156	-3,256842E-14
21,188	-2,931447E-14
21,219	-2,757225E-14
21,250	-2,930000E-14
21,281	-3,402566E-14
21,313	-3,919752E-14
21,344	-4,274175E-14
21,375	-4,447249E-14
21,406	-4,517993E-14
21,438	-4,527522E-14
21,469	-4,500645E-14
21,500	-4,523404E-14
21,531	-4,662050E-14
21,563	-4,844025E-14
21,594	-4,929762E-14
21,625	-4,866649E-14
21,656	-4,721480E-14
21,688	-4,610603E-14
21,719	-4,591354E-14
21,750	-4,602261E-14
21,781	-4,551533E-14
21,813	-4,433244E-14
21,844	-4,321611E-14
21,875	-4,278768E-14
21,906	-4,264470E-14
21,938	-4,167393E-14
21,969	-3,967323E-14
22,000	-3,745707E-14
22,031	-3,512526E-14
22,063	-3,236651E-14
22,094	-3,016235E-14
22,125	-2,991912E-14
22,156	-3,145051E-14
22,188	-3,318463E-14
22,219	-3,376046E-14
22,250	-3,303002E-14
22,281	-3,205036E-14
22,313	-3,214003E-14
22,344	-3,358145E-14
22,375	-3,523689E-14
22,406	-3,569116E-14
22,438	-3,455207E-14
22,469	-3,256207E-14
22,500	-3,108030E-14
22,531	-3,162303E-14
22,563	-3,498661E-14
22,594	-4,021775E-14
22,625	-4,499267E-14
22,656	-4,738339E-14
22,688	-4,705694E-14
22,719	-4,499477E-14
22,750	-4,259873E-14
22,781	-4,099532E-14
22,813	-4,049080E-14
22,844	-4,061943E-14
22,875	-4,128494E-14
22,906	-4,311032E-14
22,938	-4,561444E-14
22,969	-4,623404E-14
23,000	-4,304503E-14
23,031	-3,773418E-14
23,063	-3,395555E-14
23,094	-3,362447E-14
23,125	-3,576967E-14
23,156	-3,768178E-14
23,188	-3,732851E-14
23,219	-3,555862E-14
23,250	-3,512282E-14
23,281	-3,718735E-14
23,313	-3,995670E-14
23,344	-4,105236E-14
23,375	-4,030174E-14
23,406	-3,976048E-14
23,438	-4,111232E-14
23,469	-4,334919E-14
23,500	-4,401490E-14
23,531	-4,222188E-14
23,563	-3,882306E-14
23,594	-3,501851E-14
23,625	-3,226507E-14
23,656	-3,171616E-14
23,688	-3,271306E-14
23,719	-3,328134E-14
23,750	-3,261575E-14
23,781	-3,182341E-14
23,813	-3,157716E-14
23,844	-3,027337E-14
23,875	-2,620625E-14
23,906	-2,099944E-14
23,938	-1,846313E-14
23,969	-2,007219E-14
24,000	-2,358765E-14
24,031	-2,587307E-14
24,063	-2,563909E-14
24,094	-2,376439E-14
24,125	-2,204986E-14
24,156	-2,186807E-14
24,188	-2,348567E-14
24,219	-2,589984E-14
24,250	-2,726293E-14
24,281	-2,614164E-14
24,313	-2,258043E-14
24,344	-1,770666E-14
24,375	-1,244972E-14
24,406	-6,869437E-15
24,438	-3,347412E-16
24,469	7,584525E-15
24,500	1,586286E-14
24,531	2,243689E-14
24,563	2,658252E-14
24,594	2,958571E-14
24,625	3,272484E-14
24,656	3,611540E-14
24,688	3,964668E-14
