#energy Ti-O-Ti Ti-O-Si Si-O-Si total
-537.22136 0.01014 0.18021 0.07030 0.26064
-537.20136 0.01057 0.18389 0.06570 0.26016
-537.18136 0.01103 0.18743 0.06129 0.25974
-537.16136 0.01151 0.19081 0.05705 0.25937
-537.14136 0.01201 0.19403 0.05300 0.25904
-537.12136 0.01254 0.19705 0.04914 0.25873
-537.10136 0.01310 0.19987 0.04547 0.25843
-537.08136 0.01368 0.20246 0.04198 0.25813
-537.06136 0.01430 0.20482 0.03868 0.25780
-537.04136 0.01494 0.20692 0.03557 0.25743
-537.02136 0.01560 0.20876 0.03265 0.25701
-537.00136 0.01630 0.21032 0.02990 0.25651
-536.98136 0.01702 0.21158 0.02732 0.25593
-536.96136 0.01777 0.21254 0.02492 0.25523
-536.94136 0.01855 0.21319 0.02268 0.25442
-536.92136 0.01935 0.21351 0.02060 0.25346
-536.90136 0.02018 0.21350 0.01867 0.25235
-536.88136 0.02103 0.21317 0.01689 0.25108
-536.86136 0.02190 0.21249 0.01524 0.24963
-536.84136 0.02279 0.21148 0.01373 0.24800
-536.82136 0.02370 0.21013 0.01234 0.24617
-536.80136 0.02463 0.20844 0.01107 0.24414
-536.78136 0.02557 0.20643 0.00991 0.24190
-536.76136 0.02652 0.20409 0.00885 0.23946
-536.74136 0.02748 0.20145 0.00789 0.23682
-536.72136 0.02845 0.19850 0.00702 0.23396
-536.70136 0.02942 0.19526 0.00623 0.23091
-536.68136 0.03040 0.19175 0.00551 0.22766
-536.66136 0.03137 0.18798 0.00487 0.22422
-536.64136 0.03234 0.18397 0.00430 0.22060
-536.62136 0.03330 0.17974 0.00378 0.21682
-536.60136 0.03425 0.17530 0.00332 0.21288
-536.58136 0.03519 0.17069 0.00291 0.20879
-536.56136 0.03612 0.16593 0.00254 0.20459
-536.54136 0.03702 0.16102 0.00222 0.20027
-536.52136 0.03791 0.15601 0.00193 0.19586
-536.50136 0.03878 0.15091 0.00168 0.19137
-536.48136 0.03962 0.14575 0.00145 0.18683
-536.46136 0.04044 0.14054 0.00126 0.18224
-536.44136 0.04123 0.13532 0.00109 0.17764
-536.42136 0.04199 0.13010 0.00094 0.17303
-536.40136 0.04272 0.12491 0.00080 0.16843
-536.38136 0.04342 0.11976 0.00069 0.16387
-536.36136 0.04409 0.11467 0.00059 0.15935
-536.34136 0.04472 0.10967 0.00050 0.15489
-536.32136 0.04532 0.10477 0.00043 0.15052
-536.30136 0.04588 0.09998 0.00036 0.14623
-536.28136 0.04641 0.09532 0.00031 0.14204
-536.26136 0.04691 0.09080 0.00026 0.13797
-536.24136 0.04737 0.08643 0.00022 0.13401
-536.22136 0.04779 0.08221 0.00019 0.13019
-536.20136 0.04817 0.07817 0.00016 0.12650
-536.18136 0.04853 0.07429 0.00013 0.12295
-536.16136 0.04884 0.07059 0.00011 0.11954
-536.14136 0.04912 0.06706 0.00009 0.11627
-536.12136 0.04936 0.06371 0.00008 0.11315
-536.10136 0.04957 0.06054 0.00006 0.11017
-536.08136 0.04974 0.05754 0.00005 0.10733
-536.06136 0.04987 0.05471 0.00004 0.10463
-536.04136 0.04997 0.05205 0.00004 0.10205
-536.02136 0.05002 0.04955 0.00003 0.09961
-536.00136 0.05005 0.04721 0.00002 0.09728
-535.98136 0.05003 0.04501 0.00002 0.09506
-535.96136 0.04998 0.04295 0.00002 0.09295
-535.94136 0.04988 0.04103 0.00001 0.09093
-535.92136 0.04975 0.03923 0.00001 0.08899
-535.90136 0.04958 0.03755 0.00001 0.08714
-535.88136 0.04937 0.03597 0.00001 0.08535
-535.86136 0.04912 0.03449 0.00001 0.08362
-535.84136 0.04883 0.03311 0.00000 0.08194
-535.82136 0.04850 0.03180 0.00000 0.08031
-535.80136 0.04812 0.03057 0.00000 0.07870
-535.78136 0.04771 0.02941 0.00000 0.07712
-535.76136 0.04726 0.02831 0.00000 0.07557
-535.74136 0.04676 0.02726 0.00000 0.07402
-535.72136 0.04622 0.02625 0.00000 0.07248
-535.70136 0.04565 0.02529 0.00000 0.07094
-535.68136 0.04503 0.02436 0.00000 0.06939
-535.66136 0.04438 0.02346 0.00000 0.06784
-535.64136 0.04369 0.02259 0.00000 0.06628
-535.62136 0.04296 0.02174 0.00000 0.06471
-535.60136 0.04220 0.02092 0.00000 0.06312
-535.58136 0.04140 0.02011 0.00000 0.06151
-535.56136 0.04058 0.01931 0.00000 0.05989
-535.54136 0.03972 0.01853 0.00000 0.05825
-535.52136 0.03884 0.01776 0.00000 0.05660
-535.50136 0.03794 0.01700 0.00000 0.05494
-535.48136 0.03701 0.01626 0.00000 0.05326
-535.46136 0.03605 0.01553 0.00000 0.05158
-535.44136 0.03509 0.01480 0.00000 0.04989
-535.42136 0.03410 0.01409 0.00000 0.04820
-535.40136 0.03310 0.01339 0.00000 0.04650
-535.38136 0.03210 0.01271 0.00000 0.04481
-535.36136 0.03108 0.01204 0.00000 0.04312
-535.34136 0.03006 0.01138 0.00000 0.04144
-535.32136 0.02904 0.01074 0.00000 0.03978
-535.30136 0.02801 0.01012 0.00000 0.03813
-535.28136 0.02699 0.00951 0.00000 0.03650
-535.26136 0.02597 0.00893 0.00000 0.03489
-535.24136 0.02495 0.00836 0.00000 0.03331
-535.22136 0.02395 0.00781 0.00000 0.03176
-535.20136 0.02296 0.00728 0.00000 0.03024
-535.18136 0.02197 0.00678 0.00000 0.02875
-535.16136 0.02100 0.00629 0.00000 0.02730
-535.14136 0.02005 0.00583 0.00000 0.02588
-535.12136 0.01912 0.00539 0.00000 0.02451
-535.10136 0.01820 0.00497 0.00000 0.02317
-535.08136 0.01730 0.00458 0.00000 0.02188
-535.06136 0.01642 0.00420 0.00000 0.02063
-535.04136 0.01557 0.00385 0.00000 0.01942
-535.02136 0.01474 0.00352 0.00000 0.01826
-535.00136 0.01393 0.00321 0.00000 0.01714
-534.98136 0.01315 0.00292 0.00000 0.01607
-534.96136 0.01239 0.00265 0.00000 0.01504
-534.94136 0.01166 0.00240 0.00000 0.01406
-534.92136 0.01095 0.00217 0.00000 0.01313
-534.90136 0.01027 0.00196 0.00000 0.01223
-534.88136 0.00962 0.00176 0.00000 0.01138
-534.86136 0.00899 0.00158 0.00000 0.01058
-534.84136 0.00840 0.00142 0.00000 0.00981
-534.82136 0.00782 0.00127 0.00000 0.00909
-534.80136 0.00728 0.00113 0.00000 0.00841
-534.78136 0.00676 0.00100 0.00000 0.00776
-534.76136 0.00626 0.00089 0.00000 0.00715
-534.74136 0.00580 0.00079 0.00000 0.00658
-534.72136 0.00535 0.00070 0.00000 0.00605
-534.70136 0.00494 0.00061 0.00000 0.00555
-534.68136 0.00454 0.00054 0.00000 0.00508
-534.66136 0.00417 0.00047 0.00000 0.00464
-534.64136 0.00383 0.00041 0.00000 0.00424
-534.62136 0.00350 0.00036 0.00000 0.00386
-534.60136 0.00320 0.00031 0.00000 0.00351
-534.58136 0.00291 0.00027 0.00000 0.00318
-534.56136 0.00265 0.00024 0.00000 0.00289
-534.54136 0.00240 0.00020 0.00000 0.00261
-534.52136 0.00218 0.00018 0.00000 0.00235
-534.50136 0.00197 0.00015 0.00000 0.00212
-534.48136 0.00178 0.00013 0.00000 0.00191
-534.46136 0.00160 0.00011 0.00000 0.00171
-534.44136 0.00144 0.00009 0.00000 0.00153
-534.42136 0.00129 0.00008 0.00000 0.00137
-534.40136 0.00115 0.00007 0.00000 0.00122
-534.38136 0.00103 0.00006 0.00000 0.00109
-534.36136 0.00092 0.00005 0.00000 0.00096
-534.34136 0.00081 0.00004 0.00000 0.00085
-534.32136 0.00072 0.00003 0.00000 0.00076
-534.30136 0.00064 0.00003 0.00000 0.00067
-534.28136 0.00056 0.00002 0.00000 0.00059
-534.26136 0.00050 0.00002 0.00000 0.00052
-534.24136 0.00044 0.00002 0.00000 0.00045
-534.22136 0.00038 0.00001 0.00000 0.00040
-534.20136 0.00033 0.00001 0.00000 0.00035
-534.18136 0.00029 0.00001 0.00000 0.00030
-534.16136 0.00025 0.00001 0.00000 0.00026
-534.14136 0.00022 0.00001 0.00000 0.00023
-534.12136 0.00019 0.00001 0.00000 0.00020
-534.10136 0.00016 0.00000 0.00000 0.00017
-534.08136 0.00014 0.00000 0.00000 0.00015
-534.06136 0.00012 0.00000 0.00000 0.00013
