# x	0	0.1	0.16	0.23	0.33	0.53	0.59	0.77	1
# area 2.966   2.352 2.305 2.000 1.973 1.433 1.478 1.600 1.574
529.122	0.0023	0.0101	0.0171	0.0309	0.0569	0.0982	0.1178	0.1564	0.3438
529.1403	0.0024	0.0105	0.018	0.0332	0.0599	0.1034	0.1252	0.1661	0.3621
529.1448	0.0024	0.0106	0.0183	0.0337	0.0606	0.1052	0.127	0.1682	0.3679
529.1494	0.0024	0.0106	0.0183	0.0341	0.0622	0.1061	0.1289	0.1704	0.3722
529.1539	0.0024	0.0108	0.0187	0.0345	0.063	0.1079	0.1307	0.1737	0.3781
529.1722	0.0024	0.0112	0.0197	0.036	0.0663	0.1134	0.1382	0.1836	0.4019
529.195	0.0024	0.0118	0.0208	0.0373	0.0706	0.1209	0.1478	0.1972	0.4303
529.1995	0.0024	0.0118	0.0212	0.0374	0.0715	0.1219	0.1497	0.2007	0.4362
529.2178	0.0024	0.0124	0.0224	0.0386	0.076	0.1285	0.1585	0.2125	0.46
529.2223	0.0024	0.0127	0.0224	0.0388	0.077	0.1304	0.1605	0.216	0.4657
529.2406	0.0024	0.0133	0.0237	0.0404	0.0808	0.1369	0.1694	0.2289	0.4885
529.2543	0.0023	0.014	0.0246	0.0421	0.0837	0.1415	0.1754	0.239	0.5063
529.2634	0.0023	0.0149	0.0255	0.043	0.0857	0.1452	0.1803	0.2446	0.5181
529.2771	0.0023	0.0154	0.0264	0.0445	0.0897	0.1499	0.1872	0.2559	0.5352
529.2816	0.0023	0.0159	0.0264	0.045	0.0907	0.1518	0.1901	0.2593	0.5408
529.2862	0.0023	0.0159	0.0269	0.0455	0.0918	0.1537	0.1921	0.264	0.5466
529.3044	0.0022	0.0176	0.0283	0.0475	0.097	0.1614	0.2021	0.2805	0.5689
529.309	0.0022	0.0176	0.0288	0.048	0.0991	0.1634	0.2041	0.2841	0.5748
529.3181	0.0022	0.0183	0.0293	0.049	0.1012	0.1673	0.2092	0.2912	0.5891
529.3227	0.0022	0.0189	0.0297	0.0494	0.1023	0.1693	0.2113	0.2947	0.5976
529.3273	0.0022	0.0195	0.0302	0.0499	0.1045	0.1713	0.2133	0.2982	0.6033
529.3409	0.0022	0.0201	0.0317	0.0517	0.1088	0.1773	0.2217	0.3088	0.6224
529.3455	0.0022	0.0207	0.0322	0.0521	0.1099	0.1793	0.2237	0.3123	0.6269
529.3501	0.0022	0.0207	0.0327	0.0526	0.1121	0.1803	0.2258	0.3158	0.6329
529.3546	0.0022	0.0213	0.0332	0.053	0.1132	0.1824	0.2289	0.3205	0.6389
529.3729	0.0022	0.0225	0.0348	0.0551	0.12	0.1906	0.2393	0.3369	0.6626
529.3774	0.0022	0.0231	0.0353	0.0555	0.1211	0.1926	0.2424	0.3405	0.6683
529.3865	0.0023	0.0237	0.0363	0.0568	0.1245	0.1967	0.2476	0.3499	0.6796
529.3957	0.0023	0.0242	0.0374	0.0577	0.1279	0.2009	0.2527	0.3593	0.691
529.4002	0.0023	0.0247	0.0379	0.0582	0.129	0.2029	0.2558	0.364	0.6984
529.4048	0.0024	0.0247	0.0384	0.0591	0.1302	0.205	0.2589	0.3687	0.7059
529.4094	0.0024	0.0252	0.039	0.0596	0.1324	0.2071	0.261	0.3745	0.7133
529.4139	0.0024	0.0252	0.0395	0.0601	0.1336	0.2091	0.2641	0.3791	0.7207
529.423	0.0024	0.0261	0.0406	0.0612	0.1369	0.2132	0.2692	0.3885	0.7321
529.4322	0.0025	0.0266	0.0411	0.0629	0.1403	0.2173	0.2754	0.3968	0.7434
529.4367	0.0026	0.0266	0.0417	0.0635	0.1414	0.2194	0.2775	0.4017	0.7492
529.4458	0.0027	0.0274	0.0428	0.0647	0.1448	0.2245	0.2827	0.4103	0.761
529.455	0.0027	0.0278	0.0439	0.0666	0.1482	0.2286	0.2889	0.4177	0.7729
529.4595	0.0028	0.0282	0.0439	0.0672	0.1493	0.2306	0.2909	0.4226	0.7788
529.4641	0.0028	0.0282	0.0445	0.0679	0.1504	0.2337	0.294	0.4274	0.7845
529.4823	0.003	0.0294	0.0462	0.0713	0.1572	0.243	0.3044	0.4463	0.8073
529.4914	0.0031	0.0298	0.0474	0.0727	0.1606	0.2481	0.3106	0.4556	0.8176
529.5051	0.0032	0.0305	0.0493	0.0756	0.1653	0.2542	0.3188	0.4673	0.8355
529.5097	0.0032	0.0309	0.0493	0.0763	0.1676	0.2573	0.3219	0.4708	0.8427
529.5234	0.0035	0.0317	0.0513	0.0793	0.1724	0.2635	0.3312	0.4838	0.8597
529.5279	0.0035	0.0321	0.0519	0.0801	0.1747	0.2655	0.3343	0.4873	0.864
529.5325	0.0036	0.0325	0.0519	0.0809	0.1759	0.2676	0.3374	0.492	0.8696
529.5507	0.0037	0.0334	0.0547	0.0848	0.1831	0.2768	0.3498	0.512	0.888
529.5553	0.0038	0.0338	0.0554	0.0856	0.1855	0.2789	0.3529	0.5167	0.8924
529.5599	0.0038	0.0342	0.0561	0.0872	0.1868	0.2809	0.356	0.5214	0.8968
529.5735	0.0041	0.0351	0.0575	0.0896	0.1928	0.2871	0.3643	0.5355	0.9117
